Height (cm),Protein Content (%),Seed Size (g/100 seeds),Parent Index,Phenotype Difference,RF Phenotype Difference,SNPs Required
111.24,35.63,15.39,3890,-0.80,-0.11,10
86.77,35.50,15.98,3454,-0.74,0.10,6
111.19,35.63,15.41,3890,-0.80,-0.11,10
86.44,35.51,15.98,3454,-0.73,0.11,8
100.05,35.81,17.51,5072,-0.72,0.37,7
100.00,34.86,16.15,4381,-0.27,-0.03,8
80.17,35.03,16.58,5026,-0.34,0.11,6
99.75,35.17,14.93,4648,-0.18,-0.06,9
113.94,36.08,15.36,3890,-0.35,0.34,8
111.69,35.74,15.40,3890,-0.69,0.00,18
99.64,35.62,17.40,5072,-0.91,0.18,17
113.97,36.08,15.37,3890,-0.35,0.34,15
84.23,35.46,19.15,4958,-0.69,0.27,9
99.08,34.78,15.95,5143,-0.59,-0.07,9
99.49,35.61,17.38,5072,-0.92,0.17,16
98.44,34.97,16.15,829,-0.40,0.05,10
97.02,34.98,15.78,4676,-0.73,-0.07,9
82.86,34.79,16.15,3456,-0.25,0.17,7
99.96,35.40,14.82,4649,-0.25,-0.02,5
111.80,35.73,15.40,3890,-0.70,-0.01,26
99.35,35.29,14.85,4648,-0.06,0.06,9
99.69,35.69,17.43,5072,-0.84,0.25,22
111.85,35.75,15.42,3890,-0.68,0.01,27
97.67,35.11,15.21,4682,-0.52,-0.05,8
99.69,35.69,17.43,5072,-0.84,0.25,24
100.17,35.42,16.01,3547,-0.74,0.22,8
111.95,35.73,15.37,3890,-0.70,-0.01,19
112.66,35.85,15.35,3890,-0.58,0.11,18
111.87,35.74,15.39,3890,-0.69,0.00,34
86.16,35.85,15.85,3454,-0.39,0.45,8
113.94,36.08,15.36,3890,-0.35,0.34,25
113.94,36.08,15.36,3890,-0.35,0.34,21
114.00,36.10,15.35,3890,-0.33,0.36,16
102.63,35.14,14.90,1573,-0.45,0.20,7
114.01,36.08,15.36,3890,-0.35,0.34,22
100.15,35.40,14.87,4649,-0.25,-0.02,15
114.09,36.11,15.35,3890,-0.32,0.37,26
99.75,35.65,17.43,5072,-0.88,0.21,30
114.09,36.11,15.35,3890,-0.32,0.37,26
112.69,35.86,15.35,3890,-0.57,0.12,28
114.07,36.11,15.35,3890,-0.32,0.37,30
112.26,35.79,15.37,3890,-0.64,0.05,27
114.01,36.09,15.36,3890,-0.34,0.35,30
114.41,36.19,15.33,3890,-0.24,0.45,6
86.63,35.63,15.93,3454,-0.61,0.23,16
104.49,35.43,14.93,4714,-0.42,0.13,10
112.07,35.77,15.38,3890,-0.66,0.03,20
91.79,34.98,16.29,3184,-0.59,0.12,10
113.96,36.08,15.36,3890,-0.35,0.34,15
113.95,36.08,15.37,3890,-0.35,0.34,32
113.95,36.08,15.36,3890,-0.35,0.34,18
86.14,36.03,15.78,3454,-0.21,0.63,9
97.19,35.39,15.79,4676,-0.32,0.34,10
114.06,36.11,15.35,3890,-0.32,0.37,58
114.67,36.23,15.32,3890,-0.20,0.49,9
114.08,36.09,15.34,3890,-0.34,0.35,68
111.91,35.73,15.38,3890,-0.70,-0.01,28
86.26,36.01,15.77,3454,-0.23,0.61,15
113.96,36.08,15.36,3890,-0.35,0.34,28
113.97,36.05,15.36,3890,-0.38,0.31,25
86.16,36.03,15.77,3454,-0.21,0.63,19
112.54,35.84,15.36,3890,-0.59,0.10,37
113.95,36.08,15.36,3890,-0.35,0.34,40
99.32,36.16,17.70,5072,-0.37,0.72,4
113.95,36.08,15.37,3890,-0.35,0.34,39
114.00,36.08,15.36,3890,-0.35,0.34,30
114.07,36.11,15.35,3890,-0.32,0.37,36
114.57,36.21,15.33,3890,-0.22,0.47,16
114.03,36.10,15.35,3890,-0.33,0.36,26
114.08,36.10,15.35,3890,-0.33,0.36,78
86.16,36.04,15.77,3454,-0.20,0.64,19
114.02,36.09,15.36,3890,-0.34,0.35,33
113.95,36.08,15.37,3890,-0.35,0.34,48
114.78,36.25,15.32,3890,-0.18,0.51,17
114.08,36.11,15.35,3890,-0.32,0.37,36
113.95,36.08,15.37,3890,-0.35,0.34,41
114.55,36.21,15.33,3890,-0.22,0.47,25
99.25,36.31,17.80,5072,-0.22,0.87,10
111.79,35.72,15.38,3890,-0.71,-0.02,18
114.88,36.27,15.32,3890,-0.16,0.53,7
114.61,36.22,15.33,3890,-0.21,0.48,34
112.57,35.84,15.36,3890,-0.59,0.10,37
114.93,36.27,15.32,3890,-0.16,0.53,16
113.99,36.09,15.36,3890,-0.34,0.35,42
114.08,36.11,15.35,3890,-0.32,0.37,35
115.49,36.37,15.31,3890,-0.06,0.63,10
86.21,36.02,15.77,3454,-0.22,0.62,7
114.17,36.09,15.35,3890,-0.34,0.35,85
114.59,36.22,15.33,3890,-0.21,0.48,22
114.00,36.09,15.36,3890,-0.34,0.35,30
114.58,36.21,15.33,3890,-0.22,0.47,26
114.98,36.28,15.32,3890,-0.15,0.54,25
114.03,36.09,15.36,3890,-0.34,0.35,25
114.66,36.23,15.32,3890,-0.20,0.49,16
115.36,36.35,15.31,3890,-0.08,0.61,19
115.50,36.37,15.31,3890,-0.06,0.63,8
114.59,36.21,15.33,3890,-0.22,0.47,32
111.69,35.73,15.40,3890,-0.70,-0.01,26
99.30,36.22,17.74,5072,-0.31,0.78,11
114.07,36.10,15.35,3890,-0.33,0.36,68
